added,product,batch,purity_pct,mass,result_date,report_url
2025-08-08,Semaglutide 5mg,SG05,99.39,5.03 mg,2025-08-08,https://janoshik.com/tests/73890-Semaglutide_DZ1HNV1F2DG6
2025-08-07,BPC-157 / TB-500 “Healing Blend”,BPCTB04,,5.09 mg,2025-08-07,https://janoshik.com/tests/73889-Healing_Blend_33UH9LY865AN
2025-08-07,GHK-Cu 50mg,GHK03,99.98,51.9 mg,2025-08-07,https://janoshik.com/tests/73882-GHKCu_SH9ARQ1IDUV8
2025-07-23,Cagrilintide 10mg,CAG02,99.66,10.28 mg,2025-07-16,https://janoshik.com/tests/71255-Cagrilintide_3GYPCWPET42D
2025-07-21,Human Chorionic Gonadotropin (hCG),HCG04,,7861 ius,2025-07-08,https://janoshik.com/tests/70657-Human_Chorionic_Gonadotropin_hCG_8BG786457K14
2025-07-15,Melanotan-2 (MT-2),MT202,99.73,10.60 mg,2025-07-09,https://janoshik.com/tests/70658-MelanotanII_MC9ZQP4WHQFB
2025-07-09,Retatrutide 20mg,RET08,99.68,18.77 mg,2025-07-09,https://janoshik.com/tests/70656-Retatrutide_FP4Y98KA71RH
2025-07-09,Tirzepatide 10mg,TZ03,99.74,10.57 mg,2025-07-09,https://janoshik.com/tests/70659-Tirzepatide_R2PSJNPFELAT
2025-07-06,BPC-157 / TB-500 “Healing Blend”,BPCTB02,,4.89 mg,2025-04-28,https://janoshik.com/tests/63522-BPC157_TB500_Healing_Blend_5N8QX9WL4BBX
2025-06-28,Semaglutide 10mg,SG04,99.64,10.85 mg,2025-06-25,https://janoshik.com/tests/68856-Semaglutide_PMTUYB4SX7P7
2025-06-28,Retatrutide 20mg,RET06,98.45,20.79 mg,2025-06-23,https://janoshik.com/tests/68529-Retatrutide_6V44PDQ1Y1TY
2025-06-25,Tesamorelin 10mg,TES02,99.25,10.48 mg,2025-06-25,https://janoshik.com/tests/68855-Tesamorelin_NJ7XZG1HGJ61
2025-06-24,Human Growth Hormone,GGC26,96.27,41.43 ius,2025-06-23,https://janoshik.com/tests/68527-Human_Growth_Hormone_191_rHGH_9P1RPEH7ULXF
2025-06-24,Semax,SEM01,99.78,11.66 mg,2025-06-23,https://janoshik.com/tests/68528-Semax_GD7UKTV42RDF
2025-06-16,MOTS-C,MOTS01,99.39,10.72 mg,2025-05-23,https://janoshik.com/tests/65690-MOTSC_ST831QU27QF1
2025-06-14,SS-31 60mg,S3101,99.86,62.05 mg,2025-05-15,https://janoshik.com/tests/65168-SS31_UPNWT1NX4UBK
2025-06-12,TB-500 10mg,TB04,99.45,11.10 mg,2025-04-29,https://janoshik.com/tests/63521-TB500_EMGVERWSYB97
2025-06-12,TB-500 5mg,TB03,99.43,5.28 mg,2025-04-29,https://janoshik.com/tests/63520-TB500_NUFXMVU4F7PL
2025-06-12,BPC-157 / TB-500 “Healing Blend” 5mg/5mg,BPCTB03,,5.30 mg,2025-05-23,https://janoshik.com/tests/65692-BPC157_TB500_Healing_Blend_K6V7CJAK8HFD
2025-06-02,Retatrutide 10mg,RET05,99.4,10.31 mg,2025-04-29,https://janoshik.com/tests/63515-Retatrutide_PR53CZB488M9
2025-05-26,GLOW Blend,GLOW02,,59.8 mg,2025-05-23,https://janoshik.com/tests/65693-GLOW_VMS85WWL2IGQ
2025-05-26,GHK-Cu 50mg,GHK01,99.9,57.75 mg,2025-05-23,https://janoshik.com/tests/65689-GHKCu_FJGXPWWSNXV5
2025-05-24,Human Growth Hormone,GGC25,96.98,13.21 ius,2025-05-16,https://janoshik.com/tests/65169-Human_Growth_Hormone_191_rHGH_WMFDU1XXFLBZ
2025-05-22,BPC-157,BPC04,99.59,5.07 mg,2025-04-29,https://janoshik.com/tests/63516-BPC157_316XJY3VQFWF
2025-05-22,BPC-157 10mg,BPC05,99.77,10.53 mg,2025-04-29,https://janoshik.com/tests/63518-BPC157_D47WECAYUDMC
2025-05-15,Retatrutide,RET06,99.6,11.19 mg,2025-05-15,https://janoshik.com/tests/65167-Retatrutide_1S5H7YT4EU87
2025-05-11,Semaglutide,SG03,99.42,5.2 mg,2025-01-22,https://janoshik.com/tests/56313-Semaglutide_G2ZNEHW1675W
2025-03-24,Human Growth Hormone,GGC23,95.7,39.98 ius,2025-03-06,https://janoshik.com/tests/59041-Human_Growth_Hormone_191_rHGH_1UZ5K67W3Y6C
2025-03-15,Tirzepatide,TZ03,99.19,10.74 mg,2025-01-22,https://janoshik.com/tests/56319-Tirzepatide_T9BXMTNYUCPK
2025-03-15,Sermorelin,SER01,99.2,5.02 mg,2025-01-15,https://janoshik.com/tests/55832-Sermorelin_24EKY194S89T
2025-03-10,Retatrutide,RET04,99.65,12.11 mg,2025-03-10,https://janoshik.com/tests/59264-Retatrutide_84IMSIQUNYGH
2025-03-10,Human Growth Hormone,GGC24,97.82,10.35 ius,2025-03-10,https://janoshik.com/tests/59265-Human_Growth_Hormone_191_rHGH_WDJS7YZ6EEQD
2025-02-03,PT-141,PT01,99.83,11.31 mg,2025-01-22,https://janoshik.com/tests/56321-PT141_5ZDC9CHB1R22
2025-02-03,Ipamorelin,IPA01,99.83,10.96 mg,2025-01-22,https://janoshik.com/tests/56320-Ipamorelin_FJBPZK9UN8S7
2025-02-03,Epitalon,EPI01,99.84,11.82 mg,2025-01-22,https://janoshik.com/tests/56318-Epitalon_5DQIHUW1PFFT
2025-02-03,CJC-1295 with DAC,CJC01,95.31,10.51 mg,2025-01-22,https://janoshik.com/tests/56317-CJCNo_DAC_P3BCGKYMFVRL
2025-02-03,GLOW Blend,GLOW01,99.99,52.87 mg,2025-01-15,https://janoshik.com/tests/55834-GLOW_Blend_HHZX15K37WDY
2025-02-03,CJC-1295 No DAC + Ipamorelin Blend,CJCIPA01,,9.81 mg,2025-01-15,https://janoshik.com/tests/55833-CJC1295_No_DAC_Ipamorelin_YLMYPZW4J22R
2025-01-27,IGF-1 LR3,IGF1,99.354,1.03 mg,2025-01-21,https://janoshik.com/tests/56316-IGF1_LR3_BRULG5A8CLVX
2025-01-01,Semaglutide,SG02,99.39,5.76 mg,2024-12-30,https://janoshik.com/tests/54918-Semaglutide_SB2C3PPUQAJW
2025-01-01,Tesamorelin,TES01,99.205,10.77 mg,2024-12-30,https://janoshik.com/tests/54915-Tesamorelin_GBMI1ZWUPM5N
2025-01-01,Cagrilintide,CAG01,98.37,10.31 mg,2024-12-30,https://janoshik.com/tests/54916-Cagrilintide_2IBDBFNLQEN4
2025-01-01,Survodutide,SUR01,99.0,10.86 mg,2024-12-30,https://janoshik.com/tests/54914-Survodutide_6A6WR5T5BGG4
2025-01-01,Melanotan-2,MT201,99.406,12.76 mg,2024-12-30,https://janoshik.com/tests/54917-Melanotan2_PXUAZGFDEGC1
2024-11-30,Enclomiphene Citrate Tablets,202410-01,,12.51 mg,2024-11-04,https://janoshik.com/tests/51656-Enclomiphene_125mg_BP2UQGL8EIR7
2024-11-23,Human Growth Hormone,GGC21,96.78,11.39 ius,2024-11-22,https://janoshik.com/tests/53123-Human_Growth_Hormone_191aa_rHGH_WY9ETXSKQA4R
2024-11-23,Human Growth Hormone,GGC22,96.62,40.4 ius,2024-11-22,https://janoshik.com/tests/53125-Human_Growth_Hormone_191aa_rHGH_V82TRC4X1URL
2024-11-21,Human Growth Hormone,GGC20,95.96,10.94 ius,2024-07-08,https://janoshik.com/tests/44982-Human_Growth_Hormone_191_rHGH_NWYQWS88HZVT
2024-10-12,BPC-157 10mg,BPC02,99.44,11.82 mg,2024-09-30,https://janoshik.com/tests/49495-BPC157_8PMAGRAIH6GQ
2024-10-12,"BPC-157 / TB-500 ""Healing Blend"" 6mg/6mg",BPCTB01,,6.5 mg,2024-09-30,https://janoshik.com/tests/49493-BPC157_TB500_Healing_Blend_XCFT8FGDF8V7
2024-10-12,hCG (7000iu),HCG02,,7135 ius,2024-09-30,https://janoshik.com/tests/49490-Human_Chorionic_Gonadotropin_hCG_FHQT94N4SR7J
2024-10-12,hCG (14000iu),HCG03,,14493 ius,2024-09-30,https://janoshik.com/tests/49491-Human_Chorionic_Gonadotropin_hCG_B5N8VY61WADF
2024-09-28,Human Growth Hormone,GGC19,95.09,26.73 ius,2024-07-04,https://janoshik.com/tests/44981-Human_Growth_Hormone_191_rHGH_XSZVMT2EAYKK
2024-09-26,TB-500,TB02,99.2,4.87 mg,2024-03-13,https://janoshik.com/tests/39893-TB500_P5Q1YM2H18LS
2024-09-26,BPC-157,BPC03,99.84,6.12 mg,2024-09-30,https://janoshik.com/tests/49496-BPC157_BI6M9AQIP3AL
2024-09-25,Human Growth Hormone,GGC16,97.33,3.98 mg,2024-04-19,https://janoshik.com/tests/41097-Human_Growth_Hormone_191_rHGH_ET3Q5V4RIRPJ
2024-09-25,Human Growth Hormone,GGC17,96.59,11.1 ius,2024-06-11,https://janoshik.com/tests/43677-Human_Growth_Hormone_191_rHGH_8P3BQ64V5XKZ
2024-09-25,Human Growth Hormone,GGC18,96.75,40.68 ius,2024-06-13,https://janoshik.com/tests/43791-Human_Growth_Hormone_191_rHGH_P2PAGMXQB7GI
2024-09-10,Semaglutide,SG01,99.33,5.30 mg,2024-03-13,https://janoshik.com/tests/39891-Semaglutide_HSP3VPQPWUW5
