added,product,batch,purity_pct,mass,result_date,report_url
2026-07-06,Semax 10mg,SEM04,99.317,12.11 mg,2026-07-03,https://verify.janoshik.com/tests/203781-Semax_U1DE8UHJPJ2D
2026-07-06,DSIP,DSIP02,99.51,12.12 mg,2026-06-19,https://verify.janoshik.com/tests/193866-DSIP_1I89IVHP44BI
2026-07-01,KLOW Blend,KLO05,,85.01 mg,2026-06-23,https://verify.janoshik.com/tests/193863-KLOW_Blend_ZZ2SQN16VYHX
2026-06-30,Retatrutide 10mg,RET23,99.69,10.99 mg,2026-06-29,https://verify.janoshik.com/tests/200510-Retatrutide_QF96WVK2V1NW
2026-06-12,Tesamorelin 10mg,TES07,99.86,11.83 mg,2026-04-14,https://verify.janoshik.com/tests/136047-Tesamorelin_B55JAG5A8B24
2026-06-10,Healing Blend 6mg/6mg,BPCTB09,,11.74 mg,2026-04-16,https://verify.janoshik.com/tests/137462-BPC157_TB500_Healing_Blend_FVT8M352ZYTR
2026-06-10,Selank 12.5mg,SEL03,99.57,13.78 mg,2026-02-13,https://verify.janoshik.com/tests/106895-Selank_XU9KS1PTHRA3
2026-05-05,AOD-9604 2.5mg,AOD01,99.48,2.59 mg,2026-03-25,https://verify.janoshik.com/tests/124400-AOD9604_CYICTTG3DF1W
2026-05-05,ARA-290 10mg,ARA01,99.87,11.92 mg,2026-03-30,https://verify.janoshik.com/tests/125048-ARA290_PZDK4HQYA3JE
2026-05-05,Pinnealon 10mg,PIN01,99.39,11.25 mg,2026-03-30,https://verify.janoshik.com/tests/125050-Pinnealon_7IKXPT68ZX8Q
2026-05-05,GHK-Cu 70mg,GHK09,99.005,71.91 mg,2026-04-28,https://verify.janoshik.com/tests/151000-GHKCu_PFU6AVVZC2L1
2026-05-04,NAD+ 350mg,NAD04,,345.80 mg,2026-04-17,https://verify.janoshik.com/tests/147605-NAD_R96A7ZN13A76
2026-04-26,SS-31 50mg,SS03,99.89,52.49 mg,2026-02-06,https://verify.janoshik.com/tests/105517-SS31_MMXWALAIGZWR
2026-04-23,Human Growth Hormone,GGC35,97.33,26.85 ius,2026-04-14,https://verify.janoshik.com/tests/136044-Human_Growth_Hormone_P5VMXMWAV8P2
2026-04-23,Human Growth Hormone,GGC36,97.85,42.72 ius,2026-04-16,https://verify.janoshik.com/tests/147606-Human_Growth_Hormone_Z4URN5QA5E42
2026-04-23,IGF-1 LR3 1mg,IGF04,98.38,1.02 mg,2026-02-05,https://verify.janoshik.com/tests/105133-IGF1_LR3_6GCXHSQRFZ9L
2026-04-23,Human Growth Hormone,GGC34,96.65,43.15 mg,2026-03-24,https://verify.janoshik.com/tests/124397-Human_Growth_Hormone_FJX6JEXCD6GQ
2026-04-21,L-Carnitine 750mg/mL 30mL,LCAR03,,743.92 mg,2026-01-19,https://verify.janoshik.com/tests/97624-LCarnitine_N9BKE6VSXY7G
2026-04-17,SS-31 50mg,SS04,99.746,48.32 mg,2026-08-08,https://verify.janoshik.com/tests/147604-SS31_8MJBZKCKY2WU
2026-04-14,TB-500 5mg,TB08,99.87,5.82 mg,2026-04-14,https://verify.janoshik.com/tests/136045-TB500_YFPQKI1PBFKD
2026-04-14,KPV 10mg,KPV03,99.35,11.64 mg,2026-04-14,https://verify.janoshik.com/tests/136043-KPV_816SCBET3URV
2026-04-14,Retatrutide 60mg,RET22,99.79,67.03 mg,2026-03-23,https://verify.janoshik.com/tests/123381-Retatrutide_PZ7HW9WZK642
2026-04-08,Tirzepatide 60mg,TZ06,99.88,68.85 mg,2026-01-07,https://verify.janoshik.com/tests/123410-Tirzepatide_UIHYFQU84X4X
2026-04-02,NAD+ 500mg,NAD03,,499.55 mg,2026-02-16,https://verify.janoshik.com/tests/106894-NAD_RGC35AHMWI3W
2026-03-31,PT-141 10mg,PT03,99.89,10.77 mg,2026-03-25,https://verify.janoshik.com/tests/124398-PT141_CU8DBA56R2DG
2026-03-31,Retatrutide 10mg,RET21,99.56,11.56 mg,2026-03-23,https://verify.janoshik.com/tests/123380-Retatrutide_6XL5H95NCLHB
2026-03-30,GHK-Cu 70mg,GHK07,99.94,66.32 mg,2026-03-30,https://verify.janoshik.com/tests/125047-GHKCu_77S9N4EECZ3G
2026-03-30,5-Amino-1MQ 10mg,5AM02,,10.36 mg,2026-02-04,https://verify.janoshik.com/tests/105137-5amino1MQ_AQB5244Y1V71
2026-03-24,BPC-157 10mg,BPC09,99.89,12.23 mg,2026-03-24,https://verify.janoshik.com/tests/123379-BPC157_RYQG3P2YCMYU
2026-03-24,TB-500 5mg,TB07,99.742,5.87 mg,2026-01-15,https://verify.janoshik.com/tests/99290-TB500_TB4_R39CVCUAH4CE
2026-03-24,Retatrutide 20mg,RET17,99.75,20.93 mg,2026-01-15,https://verify.janoshik.com/tests/99341-Retatrutide_RTX7IF6JUW83
2026-03-20,Tirzepatide 10mg,TZ05,99.86,11.49 mg,2026-01-07,https://verify.janoshik.com/tests/123404-Tirzepatide_M8KKGXSBJ7LZ
2026-03-20,Tirzepatide 30mg,TZ07,99.81,35.30 mg,2026-01-02,https://verify.janoshik.com/tests/123405-Tirzepatide_7QS5N4XNPXJF
2026-03-18,Thymosin Alpha-1 12.5mg,TA02,99.69,13.26 mg,2025-12-05,https://janoshik.com/tests/91578-Thymosin_Alpha1_UCGZDR6EBM3J
2026-03-18,BPC-157 5mg,BPC09,99.88,5.84 mg,2026-01-15,https://verify.janoshik.com/tests/99291-BPC157_1WVYWMTL2C4V
2026-03-16,HGH (110iu Kit),GGC32,97.27,11.03 ius,2026-01-08,https://verify.janoshik.com/tests/97722-Human_Growth_Hormone_8MXPDC1EQMWK
2026-03-09,Melanotan-II (MT2) 10mg,MT203,99.77,8.96 mg,2026-03-09,https://verify.janoshik.com/tests/112973-Melanotan2_CQGH6QRK44VN
2026-03-01,CJC-1295 No DAC + Ipamorelin 10mg,CJCIPA04,,11.40 mg,2026-02-05,https://verify.janoshik.com/tests/105140-CJC1295_no_DAC_Ipamorelin_N2WTIRKQ1D9A
2026-02-25,Retatrutide 10mg,RET19,99.55,10.02 mg,2026-02-25,https://verify.janoshik.com/tests/110138-Retatrutide_XNM763Y6K834
2026-02-24,GHK-Cu 70mg,GHK06,99.8,68.24 mg,2026-02-19,https://verify.janoshik.com/tests/108811-GHKCu_7I677PDRZGL6
2026-02-19,Tesamorelin 10mg,TES06,99.89,11.91 mg,2026-02-19,https://janoshik.com/tests/108812-Tesamorelin_XW85ULFY4M8L
2026-02-19,BPC-157 10mg,BPC08-10,99.72,12.53 mg,2025-10-21,https://verify.janoshik.com/tests/84144-BPC157_FGSX2Z7KSHAQ
2026-02-14,Cartalax 25mg,CAR01,99.525,25.24 mg,2025-12-18,https://verify.janoshik.com/tests/94024-Cartalax_VTPQWE1TIRIK
2026-02-14,Melanotan-1 10mg,MT101,99.759,11.07 mg,2026-01-16,https://verify.janoshik.com/tests/99324-Melanotan1_CDPUG8C9T2NW
2026-02-14,Brain Blend 6mg/6mg,COG01,,13 mg,2025-11-27,https://janoshik.com/tests/90603-Brain_Blend_RP5YH3YVW7TL
2026-02-14,Chonluten 30mg,CHO01,97.76,31.05 mg,2026-01-02,https://verify.janoshik.com/tests/96029-Chonluten_UT24CNF329U8
2026-02-14,Cardiogen 20mg,CAR01,99.53,23.93 mg,2026-01-02,https://verify.janoshik.com/tests/96030-Cardiogen_XZCTA4ICNBVX
